Alg,Prob,25,50,75,99
CMAES,F10,2,3,5,25
DE,F10,3,5,8,57
GA,F10,2,3,7,97
PSO,F10,2,2,5,72
CMAES,F11,5,8,13,42
DE,F11,5,9,22,130
GA,F11,6,11,32,185
PSO,F11,8,18,51,216
CMAES,F12,2,4,9,26
DE,F12,4,6,11,39
GA,F12,2,3,6,21
PSO,F12,1,2,3,13
CMAES,F13,3,10,18,48
DE,F13,5,12,24,111
GA,F13,3,7,14,76
PSO,F13,2,3,7,49
CMAES,F14,2,4,11,31
DE,F14,4,7,14,52
GA,F14,2,5,10,31
PSO,F14,1,3,4,21
CMAES,F15,4,11,27,67
DE,F15,4,7,21,185
GA,F15,2,6,14,85
PSO,F15,2,6,26,95
CMAES,F16,6,12,22,42
DE,F16,14,27,71,143
GA,F16,5,9,20,109
PSO,F16,8,15,32,127
CMAES,F17,3,8,16,54
DE,F17,6,14,32,159
GA,F17,3,6,13,89
PSO,F17,3,6,16,115
CMAES,F18,2,7,18,57
DE,F18,5,12,29,168
GA,F18,3,6,12,89
PSO,F18,2,5,13,107
CMAES,F19,10,32,82,148
DE,F19,5,11,37,163
GA,F19,3,6,25,178
PSO,F19,8,16,60,168
CMAES,F1,2,5,10,28
DE,F1,4,6,11,41
GA,F1,2,3,6,23
PSO,F1,1,2,3,15
CMAES,F20,4,9,20,45
DE,F20,3,4,6,12
GA,F20,2,2,3,9
PSO,F20,2,6,15,74
CMAES,F21,3,5,8,18
DE,F21,7,13,28,69
GA,F21,3,5,9,32
PSO,F21,2,2,4,17
CMAES,F22,3,6,9,28
DE,F22,6,10,19,65
GA,F22,3,5,11,43
PSO,F22,2,2,5,28
CMAES,F23,13,40,79,119
DE,F23,21,43,83,157
GA,F23,11,23,50,180
PSO,F23,21,39,88,186
CMAES,F24,6,20,65,94
DE,F24,6,13,38,178
GA,F24,3,8,24,211
PSO,F24,4,14,72,239
CMAES,F2,2,3,7,29
DE,F2,3,4,6,26
GA,F2,2,3,4,19
PSO,F2,2,3,5,21
CMAES,F3,4,11,27,65
DE,F3,4,9,21,209
GA,F3,3,6,12,70
PSO,F3,3,7,25,194
CMAES,F4,1,2,7,68
DE,F4,3,6,15,179
GA,F4,2,4,10,66
PSO,F4,2,4,12,164
CMAES,F5,1,3,9,25
DE,F5,4,9,18,62
GA,F5,3,5,11,37
PSO,F5,2,4,7,16
CMAES,F6,2,2,3,26
DE,F6,3,4,9,57
GA,F6,2,5,10,61
PSO,F6,1,2,4,41
CMAES,F7,2,4,9,33
DE,F7,4,6,12,67
GA,F7,2,4,8,77
PSO,F7,1,2,5,61
CMAES,F8,3,4,7,24
DE,F8,3,4,6,32
GA,F8,2,2,4,26
PSO,F8,1,2,3,24
CMAES,F9,2,3,6,82
DE,F9,4,5,9,42
GA,F9,2,3,4,23
PSO,F9,2,3,4,33
